Date/Heure,Temp max.(°C),Temp min.(°C),Temp moy.(°C),Précip. tot. (mm),Neige au sol (cm),Inondation pluviale,Crue fluviale
2015-01-01,-3.0,-7.5,-5.2,1.0,0.0,0,0
2015-01-02,-3.4,-15.1,-9.2,0.1,1.0,0,0
2015-01-03,-8.1,-17.6,-12.8,14.6,1.0,0,0
2015-01-04,3.3,-8.2,-2.4,26.2,6.0,0,0
2015-01-05,-5.2,-17.8,-11.6,0.0,4.5,0,0
2015-01-06,-8.4,-19.0,-13.8,2.1,4.5,0,0
2015-01-07,-9.0,-26.2,-17.6,3.2,8.0,0,0
2015-01-08,-7.2,-27.1,-17.2,1.5,10.5,0,0
2015-01-09,-6.0,-14.0,-10.0,1.9,12.5,0,0
2015-01-10,-8.7,-13.2,-11.0,0.2,9.0,0,0
2015-01-11,-4.2,-11.8,-8.0,0.0,9.0,0,0
2015-01-12,-1.9,-16.8,-9.4,3.7,9.0,0,0
2015-01-13,-16.8,-23.5,-20.2,0.2,11.0,0,0
2015-01-14,-14.4,-23.6,-19.0,0.0,11.0,0,0
2015-01-15,-4.6,-20.6,-12.6,0.4,11.0,0,0
2015-01-16,-2.4,-20.2,-11.4,1.0,13.0,0,0
2015-01-17,-14.8,-23.7,-19.2,0.0,11.0,0,0
2015-01-18,2.7,-15.2,-6.2,4.4,11.5,0,0
2015-01-19,1.4,-13.5,-6.0,1.3,13.0,0,0
2015-01-20,-13.6,-18.2,-15.9,0.0,12.0,0,0
2015-01-21,-10.1,-20.8,-15.4,0.0,12.0,0,0
2015-01-22,-9.2,-18.2,-13.7,0.0,12.5,0,0
2015-01-23,-0.2,-11.8,-6.0,0.0,12.0,0,0
2015-01-24,-0.6,-3.0,-1.8,0.2,11.5,0,0
2015-01-25,-1.6,-18.0,-9.8,0.1,11.5,0,0
2015-01-26,-14.4,-21.9,-18.2,0.0,11.5,0,0
2015-01-27,-9.6,-16.0,-12.8,0.0,11.5,0,0
2015-01-28,-8.4,-15.3,-11.9,0.0,11.5,0,0
2015-01-29,-0.4,-15.8,-8.1,2.4,11.0,0,0
2015-01-30,-2.1,-18.8,-10.5,4.4,15.0,0,0
2015-01-31,-14.6,-22.6,-18.7,0.1,16.5,0,0
2015-02-01,-14.0,-20.0,-17.0,0.0,16.5,0,0
2015-02-02,-17.2,-22.4,-19.8,4.6,16.0,0,0
2015-02-03,-7.9,-23.6,-15.8,0.8,15.0,0,0
2015-02-04,-3.8,-9.4,-6.6,4.9,15.5,0,0
2015-02-05,-7.1,-21.6,-14.4,0.2,20.0,0,0
2015-02-06,-9.6,-24.2,-16.9,1.7,19.5,0,0
2015-02-07,-12.5,-18.2,-15.4,0.1,21.0,0,0
2015-02-08,-13.8,-18.4,-16.1,5.8,19.0,0,0
2015-02-09,-11.6,-15.4,-13.6,0.6,16.0,0,0
2015-02-10,-7.1,-14.6,-10.8,0.2,16.5,0,0
2015-02-11,-11.0,-17.0,-14.0,1.5,16.5,0,0
2015-02-12,-7.5,-18.2,-12.8,3.6,22.0,0,0
2015-02-13,-18.0,-23.8,-21.0,0.1,22.0,0,0
2015-02-14,-13.8,-20.9,-17.4,0.6,23.0,0,0
2015-02-15,-14.0,-21.8,-17.9,0.0,20.0,0,0
2015-02-16,-16.3,-23.9,-20.1,0.0,20.0,0,0
2015-02-17,-12.9,-24.1,-18.5,0.0,19.5,0,0
2015-02-18,-7.0,-21.1,-14.0,0.1,19.5,0,0
2015-02-19,-8.1,-18.4,-13.3,4.0,20.0,0,0
2015-02-20,-14.4,-19.6,-17.0,1.2,18.0,0,0
2015-02-21,-7.6,-17.6,-12.6,3.4,17.5,0,0
2015-02-22,-3.4,-11.4,-7.4,0.8,21.5,0,0
2015-02-23,-11.0,-23.7,-17.4,0.1,20.5,0,0
2015-02-24,-8.7,-24.7,-16.8,0.0,19.5,0,0
2015-02-25,-4.6,-17.7,-11.2,0.4,19.5,0,0
2015-02-26,-12.2,-21.0,-16.6,0.0,19.5,0,0
2015-02-27,-9.4,-21.2,-15.3,0.0,19.5,0,0
2015-02-28,-5.4,-16.5,-11.0,0.0,19.0,0,0
2015-03-01,-3.2,-16.6,-10.0,0.1,18.5,0,0
2015-03-02,-2.6,-12.2,-7.4,0.5,18.5,0,0
2015-03-03,-3.6,-18.3,-11.0,4.2,19.0,0,0
2015-03-04,2.0,-5.8,-1.9,0.1,20.5,0,0
2015-03-05,-5.8,-18.5,-12.1,0.6,20.0,0,0
2015-03-06,-6.8,-20.3,-13.6,0.1,20.0,0,0
2015-03-07,-2.1,-13.4,-7.8,0.2,19.5,0,0
2015-03-08,-0.2,-6.1,-3.2,0.5,20.0,0,0
2015-03-09,2.6,-3.5,-0.4,1.4,21.5,0,0
